"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C02"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
0006947	0293	3		1	2	57	1	0	0	0	0	00																																																																				836.120367
0006948	0293	3		1	2	23	1	1	1	0	4	08	1	1	4		1950	2				2												2		1	540						1	500	1	400			1	150	2		2		1	90	3630	2490	2490		1140	2														2	2	2	2	836.120367
0009513	0294	2		2	1	76	1	1	0	1	5	11																												260			1	28	2				2		2		2		1	450	738	260		260	478																			735.175582
0009514	0294	2		2	2	76	1	1	0	1	5	11																												390			2		2				2		2		2		2		390	390		390																				735.175582
0008700	0295	2		2	2	39	1	0	0	0	0	00																																																																				1342.338398
0008701	0295	2		2	1	35	1	1	1	0	4	08	3	2	4		3420	2				2												1	240	2							2		2				2		2		2		2		3660	3660	3660			2														2	2	2	2	1342.338398
0008702	0295	2		2	1	3	1	1	1	0	1	01	3	1	1		1200	2		2		2		1	100	2		2		2		2		2		2							1	40	2		1	100	2		2		2		2		1440	1300	1300		140	2	2	2	2	2	2	2												1342.338398
0009515	0296	4		3	1	50	1	0	0	0	0	00																																																																				912.106356
0009516	0296	4		3	2	48	1	1	0	1	5	11																													168	250	1	136	1	32			2		2		1	40	2		626	418		418	208																			912.106356
0009517	0296	4		3	2	14	1	1	1	1	3	04	2	1	1		0	2		2		2				2		2		1	15	1	30	1	255	1	900		800				1	472	1	14	1	150	1	50	1	50	1	40	2		2776	2000	1200	800	776	2	2	2	2	2	2	2												912.106356
0009518	0296	4		3	1	8	1	1	1	1	2	03	2	1	1		0	1	1260	2		2		2		2		1	315	1	104	1	30	1	235	2			1200				1	287	2		1	178	1	168	2		2		2		3777	3144	1944	1200	633	2	2	2	2	2	2	2												912.106356
0006949	0297	4		1	2	46	1	0	0	0	0	00																																																																				566.626909
0006950	0297	4		1	1	7	1	1	1	0	2	03	1	1	1		0	2		2		2		2		2		1	0	1	151	2		2		2							1	136	1	21	1	60	2		2		2		2		368	151	151		217	1	2	2	2	1	2	2												566.626909
0009519	0298	4		2	1	43	1	0	0	0	0	00																																																																				992.170781
0009520	0298	4		2	2	40	1	1	1	1	4	08	1	1	1		230	2				2												1	480	2					1300	480	1	65	1	50			1	60	1	100	1	30	2		2795	2490	710	1780	305	2														2	2	2	2	992.170781
0009521	0298	4		2	1	3	1	1	1	0	1	01	1	1	1		820	1	800	2		2		2		2		1	5	2		2		2		2							1	30	2		2		1	20	2		2		2		1675	1625	1625		50	2	2	2	2	2	2	2												992.170781
0008703	0299	4		1	1	39	1	1	0	1	5	11																													1000		2		2				2		2		2		2		1000	1000		1000																				1022.566759
0008704	0299	4		1	2	36	1	0	0	0	0	00																																																																				1022.566759
0007722	0300	2		1	2	59	1	0	0	0	0	00																																																																				632.453316
0007723	0300	2		1	1	60	1	0	0	0	0	00																																																																				632.453316
0007724	0300	2		1	2	24	1	0	0	0	0	00																																																																				632.453316
0007725	0300	2		1	1	19	1	1	1	0	4	08	1	1	3		900	2				2												2		2							1	80	1	200			1	150	2		1	1500	2		2830	900	900		1930	1														1	2	2	2	632.453316
0006951	0301	3		1	2	66	1	1	0	1	5	11																														80	1	50	2				1	20	2		2		2		150	80		80	70																			774.253637
0006952	0302	3		2	1	57	1	0	0	0	0	00																																																																				1136.77948
0006953	0302	3		2	2	55	1	0	0	0	0	00																																																																				1136.77948
0006954	0302	3		2	2	18	1	1	1	0	3	05	1	1	1		0	2		2		2				2		2		1	800	2		2		2							1	400	1	50	1	200	1	200	2		2		2		1650	800	800		850	2							2	2	2	2	2	2	2					1136.77948
0006955	0302	3		2	1	15	1	1	1	0	3	04	1	1	1		0	2		2		2				2		1	0	1	1000	2		2		2							1	550	1	50	1	200	1	200	1	30	2		1	50	2080	1000	1000		1080	2	2	2	2	2	2	2												1136.77948
0007729	0303	1		3	1	55	1	0	0	0	0	00																																																																				1332.439358
0007730	0303	1		3	2	55	1	0	0	0	0	00																																																																				1332.439358
0007731	0303	1		3	2	16	1	1	1	0	3	05	1	1	1		0	2		2		2				2		2		1	760	2		2		2							1	40	1	20	1	50	1	70	2		2		2		940	760	760		180	2							2	2	2	2	2	2	2					1332.439358
