"NORDEN"	"IDHOGAR"	"TMUNI"	"NHOGAR"	"EHOGAR"	"SEXO"	"EDAD"	"NACIONALIDAD"	"ESTUDIANTE"	"REGLADO"	"NOREGLADO"	"NEST"	"NEST2"	"C01"	"C02"	"C03"	"C04"	"MCL"	"C08"	"C09A"	"C10"	"C11A"	"C12"	"C13A"	"C14"	"C15A"	"C16"	"C17A"	"C18"	"C19A"	"C20"	"C21A"	"C22"	"C23A"	"C24"	"C25A"	"C26"	"C27A"	"C28A"	"C29A"	"C31A"	"C33A"	"C34A"	"DLIB"	"LIB"	"D42"	"D43"	"D44"	"D45"	"D47"	"D48"	"D50"	"D51"	"D53"	"D54"	"D56"	"D57"	"GTT"	"GTS"	"GTSR"	"GTSNR"	"GTB"	"E59"	"E60R1"	"E60R2"	"E60R3"	"E60R4"	"E60R5"	"E60R6"	"E61R1"	"E61R2"	"E61R3"	"E61R4"	"E61R5"	"E61R6"	"E61R7"	"E62R1"	"E62R2"	"E62R3"	"E62R4"	"FACTOR"
0010385	0001	4		2	1	44	1	0	0	0	0	00																																																																				3071.363641
0010386	0001	4		2	2	42	1	0	0	0	0	00																																																																				3071.363641
0010387	0001	4		2	2	5	1	1	1	1	1	02	2	1	1		0	1	1850	2		2		1	360	2		1	320	1	50	1	15	1	720	2			750				1	210	2		2		2		2		2		2		4275	4065	3315	750	210	2	2	2	2	2	2	2												3071.363641
0010388	0001	4		2	1	3	1	1	1	0	1	01	2	1	1		0	1	2035	2		2		2		2		2		2		1	15	1	900	2							2		1	90	2		2		2		2		2		3040	2950	2950		90	2	2	2	2	2	2	2												3071.363641
0012050	0002	4		1	1	43	1	0	0	0	0	00																																																																				2788.987443
0012051	0002	4		1	2	43	1	0	0	0	0	00																																																																				2788.987443
0012052	0002	4		1	1	7	1	1	1	0	2	03	2	1	1		0	1	1600	2		2		2		2		1	792	1	34	1	15	1	890	2							1	145	2		1	45	1	55	2		1	600	1	200	4376	3331	3331		1045	2	2	2	2	2	2	2												2788.987443
0012053	0002	4		1	2	3	1	0	0	0	0	00																																																																				2788.987443
0012054	0003	4		3	2	49	1	1	0	1	5	11																													600	430	1	80	1	150			1	30	1	50	2		2		1340	1030		1030	310																			1340.80341
0012055	0003	4		3	1	19	1	1	1	0	4	09	1	1	1		0	2				2												2		1	450						2		2				1	30	2		2		2		480	450	450		30	2														2	2	2	2	1340.80341
0012056	0003	4		3	1	16	1	1	1	0	3	06	1	1	1		0	2		2		2				2		2		1	15	1	50	2		1	200						2		2		2		1	30	2		2		2		295	265	265		30	1							2	2	2	2	2	1	2					1340.80341
0009388	0004	4		1	1	48	1	0	0	0	0	00																																																																				1888.332773
0009389	0004	4		1	2	44	1	0	0	0	0	00																																																																				1888.332773
0009390	0004	4		1	2	10	1	1	1	1	2	03	1	1	1		0	1	850	2		2		2		2		1	240	1	65	1	30	2		2			560	350			1	0	2		2		1	115	2		2		2		2210	2095	1185	910	115	2	2	2	2	2	2	2												1888.332773
0010390	0005	4		1	1	47	1	1	0	1	5	11																												100			2		2				1	25	2		1	190	1	110	425	100		100	325																			3152.489691
0010391	0006	4		1	1	45	1	0	0	0	0	00																																																																				2810.452296
0010392	0006	4		1	2	44	1	0	0	0	0	00																																																																				2810.452296
0009391	0006	4		1	2	10	1	1	1	0	2	03	1	1	1		0	1	840	2		2		2		2		1	250	2		1	50	2		2							1	0	2		1	40	1	50	2		2		2		1230	1140	1140		90	1	2	2	2	1	2	2												2810.452296
0011150	0007	4		3	2	53	1	1	1	0	3	07	1	1	1		80																					80					1	80	2				1	10	2		2		2		170	80	80		90	2							2	2	2	2	2	2	2					2140.349809
0011151	0007	4		3	2	18	1	1	1	0	4	09	1	1	1		150	2				2												2		2							2		2				2		2		1	1500	2		1650	150	150		1500	1														1	2	2	2	2140.349809
0011152	0007	4		3	2	23	1	1	1	1	4	08	1	1	3		1807	2				2												2		2				216			2		1	100			1	30	2		2		2		2153	2023	1807	216	130	2														2	2	2	2	2140.349809
0011153	0008	2		2	2	55	1	0	0	0	0	00																																																																				3043.749357
0011154	0008	2		2	1	57	1	0	0	0	0	00																																																																				3043.749357
0011155	0008	2		2	2	20	1	1	1	0	4	08	1	1	3		823	2				2												2		2							2		1	80			1	120	2		1	30	2		1053	823	823		230	2														2	2	2	2	3043.749357
0011156	0008	2		2	1	17	1	1	1	1	3	05	2	1	1		0	2		2		2				2		2		1	30	2		1	1116	2			630				2		2		2		1	85	2		2		1	70	1931	1776	1146	630	155	2							2	2	2	2	2	2	2					3043.749357
0012062	0009	4		1	1	26	1	0	0	0	0	00																																																																				2329.452039
0012063	0009	4		1	2	25	1	0	0	0	0	00																																																																				2329.452039
0012064	0009	4		1	2	4	1	1	1	0	1	02	1	1	1		0	1	750	2		2		2		2		2		2		2		2		2							2		2		1	75	2		2		2		2		825	750	750		75	1	2	1	2	1	2	2												2329.452039
0012065	0009	4		1	1	0	1	0	0	0	0	00																																																																				2329.452039
0010394	0010	1		2	1	50	1	0	0	0	0	00																																																																				1317.941963
0010395	0010	1		2	2	45	1	0	0	0	0	00																																																																				1317.941963
0010396	0010	1		2	1	8	1	1	1	0	2	03	1	1	1		0	1	513	1	0	2		2		2		2		2		1	15	2		2							1	120	2		1	50	2		1	1000	2		1	20	1718	528	528		1190	2	2	2	2	2	2	2												1317.941963
0010397	0010	1		2	2	5	1	1	1	0	1	02	1	1	1		0	1	495	1	0	2		2		2		2		2		1	15	2		2							1	80	2		1	50	1	80	1	800	2		2		1520	510	510		1010	2	2	2	2	2	2	2												1317.941963
0009395	0011	1		2	1	54	1	0	0	0	0	00																																																																				2777.24147
0009396	0011	1		2	2	52	1	0	0	0	0	00																																																																				2777.24147
0009397	0011	1		2	1	20	1	1	1	0	4	09	1	1	2		50	2				2												2		2							2		2				1	40	2		1	300	1	100	490	50	50		440	1														2	2	2	1	2777.24147
0009398	0011	1		2	2	15	1	1	1	0	3	04	1	1	2		0	2		1	0	2				2		2		2		1	20	2		1	2000						1	400	2		2		1	50	1	160	2		2		2630	2020	2020		610	2	2	2	2	2	2	2												2777.24147
0009399	0012	1		2	1	43	1	0	0	0	0	00																																																																				2124.118012
0009400	0012	1		2	2	42	1	1	0	1	5	11																														0	2		2				2		2		2		2																									2124.118012
0009401	0012	1		2	2	10	1	1	1	1	2	03	2	1	2		0	1	1400	2		2		2		2		1	250	1	130	2		1	100	2				420			1	360	1	10	1	160	1	70	2		2		2		2900	2300	1880	420	600	2	2	2	2	2	2	2												2124.118012
0009402	0013	4		1	1	59	1	1	0	1	5	11																												192			1	30	2				2		2		2		1	300	522	192		192	330																			4327.695247
0009403	0013	4		1	2	27	1	0	0	0	0	00																																																																				4327.695247
0009404	0013	4		1	1	24	1	0	0	0	0	00																																																																				4327.695247
0010398	0014	4		2	2	47	1	1	0	1	5	11																														0	2		2				2		2		2		2																									1530.392209
0011157	0014	4		2	2	11	1	1	1	1	2	03	2	1	1		0	1	2000	2		2		1	300	2		1	240	1	100	1	56	1	940	2			540	270			1	312	2		1	93	1	30	2		2		2		4881	4446	3636	810	435	2	2	2	2	2	2	2												1530.392209
0011161	0015	4		2	1	38	1	0	0	0	0	00																																																																				6185.528343
0011162	0015	4		2	2	36	1	0	0	0	0	00																																																																				6185.528343
0011163	0015	4		2	1	8	1	1	1	1	2	03	1	1	1		0	1	405	1	1215	2		2		2		1	180	1	35	1	30	1	78	2				810			1	15	2		1	450	2		2		2		2		3218	2753	1943	810	465	1	2	1	1	2	2	2												6185.528343
0011164	0015	4		2	1	5	1	1	1	1	1	02	1	1	1		0	1	405	1	1215	2		2		2		2		2		1	30	1	78	2				810			1	15	2		1	300	2		2		2		2		2853	2538	1728	810	315	1	2	1	1	2	2	2												6185.528343
0011165	0015	4		2	2	1	1	0	0	0	0	00																																																																				6185.528343
0009406	0016	4		1	2	59	1	0	0	0	0	00																																																																				4716.535249
0009407	0016	4		1	1	29	1	1	1	0	4	08	1	1	3		1200	2				2												2		2							2		2				1	55	2		2		1	100	1355	1200	1200		155	2														2	2	2	2	4716.535249
0012066	0017	4		1	1	47	1	1	1	1	3	07	1	1	1		72																					72	1017	737			1	316	1	30			1	25	2		2		1	300	2497	1826	72	1754	671	2							2	2	2	2	2	2	2					3572.821649
0009412	0018	2		1	2	57	1	0	0	0	0	00																																																																				4380.146594
0009413	0018	2		1	1	30	1	0	0	0	0	00																																																																				4380.146594
0009414	0018	2		1	2	35	1	1	1	0	4	09	1	1	3		0	2				2												1	300	2							1	250	2				1	45	2		2		1	16	611	300	300		311	2														2	2	2	2	4380.146594
0010399	0019	4		1	1	42	1	1	0	1	5	11																														0	2		2				2		2		2		2																									2391.050238
0010400	0019	4		1	2	41	1	0	0	0	0	00																																																																				2391.050238
0011166	0020	1		2	1	56	1	0	0	0	0	00																																																																				1584.376604
0011167	0020	1		2	2	56	1	1	0	1	5	11																														0	2		2				2		2		2		2																									1584.376604
0011168	0020	1		2	1	20	1	1	1	0	4	09	1	1	2		0	2				2												2		2							1	48	2				2		2		2		2		48				48	2														2	2	2	2	1584.376604
0012067	0021	1		3	2	48	1	1	0	1	5	11																												1001		500	2		2				2		2		2		2		1501	1501		1501																				2284.542721
0012068	0021	1		3	1	54	1	0	0	0	0	00																																																																				2284.542721
0012069	0021	1		3	2	18	1	1	1	0	3	05	2	1	2		0	2		2		2				2		2		1	932	1	15	1	1687	1	720						1	143	1	12	2		1	200	2		2		2		3709	3354	3354		355	2							2	2	2	2	2	2	2					2284.542721
0012070	0021	1		3	1	15	1	1	1	0	3	04	2	1	2		0	2		2		2				1	0	2		1	70	1	15	1	1133	1	880						1	120	2		1	52	1	120	2		1	220	2		2610	2098	2098		512	2	2	2	2	2	2	2												2284.542721
0001877	0022	4		2	1	52	1	0	0	0	0	00																																																																				997.107641
0001878	0022	4		2	2	49	1	0	0	0	0	00																																																																				997.107641
0001879	0022	4		2	1	17	1	1	1	1	3	05	1	1	1		0	2		2		2				2		2		1	280	1	10	2		1	1000		50				1	120	1	30	2		1	150	2		2		2		1640	1340	1290	50	300	1							1	2	2	2	2	2	2					997.107641
0001880	0022	4		2	1	13	1	1	1	0	3	04	1	1	1		0	2		2		2				2		2		1	200	1	10	2		2							1	110	1	30	2		1	150	2		2		2		500	210	210		290	2	2	2	2	2	2	2												997.107641
0000001	0023	4		2	1	63	1	0	0	0	0	00																																																																				709.186294
0000002	0023	4		2	2	54	1	0	0	0	0	00																																																																				709.186294
0000003	0023	4		2	1	18	1	1	1	0	3	06	1	1	1		0	2		2		2				2		2		2		2		2		2							1	225	1	40	2		1	100	2		2		1	70	435				435	2							2	2	2	2	2	2	2					709.186294
0000004	0023	4		2	1	18	1	1	1	0	3	06	1	1	1		0	2		2		2				2		2		2		2		2		2							1	225	1	40	2		1	100	2		2		1	70	435				435	2							2	2	2	2	2	2	2					709.186294
0006757	0024	2		2	1	50	1	0	0	0	0	00																																																																				776.268397
0006758	0024	2		2	2	54	1	1	0	1	5	11																													100		1	150	2				2		2		2		2		250	100		100	150																			776.268397
0006759	0024	2		2	1	14	1	1	1	1	3	04	1	1	1		0	2		2		2				2		2		1	200	1	15	2		1	405		1500				1	250	2		1	40	1	50	1	250	2		2		2710	2120	620	1500	590	2	2	2	2	2	2	2												776.268397
0003754	0025	2		2	1	43	1	0	0	0	0	00																																																																				1559.915771
0003755	0025	2		2	2	37	1	1	0	1	5	11																													1300		1	200	1	89			1	52	2		2		2		1641	1300		1300	341																			1559.915771
0003756	0025	2		2	2	3	1	1	1	0	1	01	3	1	1		1200	2		2		2		2		2		2		2		1	40	2		2							2		2		2		2		2		2		2		1240	1240	1240			2	2	2	2	2	2	2												1559.915771
0003757	0025	2		2	1	1	1	0	0	0	0	00																																																																				1559.915771
0000846	0026	2		2	2	56	1	1	1	0	3	07	1	1	1		85																					85					1	25	2				1	10	2		2		2		120	85	85		35	2							2	2	2	2	2	2	2					756.243329
0000847	0026	2		2	2	22	1	0	0	0	0	00																																																																				756.243329
0000848	0026	2		2	2	20	1	1	1	0	3	06	1	1	2		0	2		1	30	2				2		2		2		2		1	23	2							1	75	1	40	2		1	50	2		2		2		218	53	53		165	2							2	2	2	2	2	2	2					756.243329
0000849	0027	2		2	1	53	1	0	0	0	0	00																																																																				1153.077547
0000850	0027	2		2	2	53	1	0	0	0	0	00																																																																				1153.077547
0000851	0027	2		2	2	21	1	1	1	0	4	08	1	1	5	1	0	2				2												2		2							1	62	1	34			1	100	1	50	2		2		246				246	1														2	2	1	2	1153.077547
0000852	0027	2		2	2	19	1	1	1	0	4	08	1	1	2		0	2				2												2		2							1	100	1	100			1	150	1	300	1	750	2		1400				1400	1														1	1	2	2	1153.077547
0000855	0028	4		3	1	52	1	1	1	0	4	08	1	2	1		140	2				2												2		2							1	114	1	10			1	50	2		2		2		314	140	140		174	2														2	2	2	2	2379.644862
0000856	0028	4		3	2	43	1	0	0	0	0	00																																																																				2379.644862
0000857	0028	4		3	2	7	1	1	1	1	2	03	1	1	1		0	1	730	2		2		1	354	2		1	200	1	2	1	20	2		2			568	315			1	235	2		1	90	1	50	1	200	2		2		2764	2189	1306	883	575	2	2	2	2	2	2	2												2379.644862
0000858	0028	4		3	1	4	1	1	1	1	1	02	1	1	1		0	1	729	2		2		1	303	2		2		1	20	2		2		2			612				1	163	2		1	40	1	25	2		2		2		1892	1664	1052	612	228	2	2	2	2	2	2	2												2379.644862
0000861	0029	4		1	2	38	1	1	1	0	4	08	3	2	4		3800	2				2												2		2							2		2				1	20	1	150	1	5	2		3975	3800	3800		175	2														2	2	2	2	883.15959
0000862	0030	2		3	1	43	1	0	0	0	0	00																																																																				2377.449485
0000863	0030	2		3	2	42	3	1	0	1	5	11																													1080		1	20	2				2		2		2		2		1100	1080		1080	20																			2377.449485
0000864	0030	2		3	1	6	1	1	1	0	1	02	2	1	1		0	2		2		2		2		2		1	117	2		1	20	1	220	2							1	200	2		1	200	1	50	2		2		2		807	357	357		450	2	2	2	2	2	2	2												2377.449485
0000865	0030	2		3	2	5	1	1	1	0	1	02	2	1	1		0	2		2		2		2		2		1	117	1	40	1	20	1	220	2							1	200	1	80	1	200	1	20	2		2		2		897	397	397		500	2	2	2	2	2	2	2												2377.449485
0000063	0031	2		1	2	46	1	0	0	0	0	00																																																																				992.987381
0000064	0031	2		1	1	45	1	0	0	0	0	00																																																																				992.987381
0000065	0031	2		1	2	7	1	1	1	1	2	03	1	1	1		0	2		2		2		2		2		2		1	30	1	12	2		2			500				1	148	2		1	120	1	35	1	40	2		2		885	542	42	500	343	1	2	2	2	1	2	2												992.987381
0001883	0032	2		2	2	52	1	1	0	1	5	11																													320		1	60	1	40			1	50	2		2		2		470	320		320	150																			1120.753294
0001884	0032	2		2	1	60	1	0	0	0	0	00																																																																				1120.753294
0002845	0032	2		2	1	21	1	1	1	0	4	08	1	1	4		1600	2				2												2		1	125						2		1	40			1	20	2		1	700	2		2485	1725	1725		760	2														2	2	2	2	1120.753294
0000866	0033	2		3	1	47	1	1	0	1	5	11																													300		2		1	20			1	50	2		2		2		370	300		300	70																			1029.617079
0000867	0033	2		3	2	51	1	1	0	1	5	11																													64		2		2				2		2		2		2		64	64		64																				1029.617079
0000868	0033	2		3	1	18	1	1	1	0	3	06	1	1	1		0	2		2		2				2		2		2		2		2		2							1	70	1	30	1	120	2		2		2		2		220				220	2							2	2	2	2	2	2	2					1029.617079
0001885	0034	4		1	1	57	1	0	0	0	0	00																																																																				1022.700637
0001886	0034	4		1	2	56	1	0	0	0	0	00																																																																				1022.700637
0001887	0034	4		1	1	19	1	1	1	0	4	08	1	1	1		1500	2				2												2		2							1	140	1	60			1	20	2		1	1000	2		2720	1500	1500		1220	2														2	2	2	2	1022.700637
0000871	0035	4		1	1	49	1	0	0	0	0	00																																																																				1650.36507
0000872	0035	4		1	2	43	1	0	0	0	0	00																																																																				1650.36507
0000873	0035	4		1	1	10	1	1	1	1	2	03	1	1	1		0	2		2		2		1	100	2		2		1	40	1	15	2		1	360		450				1	110	2		2		1	50	2		2		1	15	1140	965	515	450	175	2	2	2	2	2	2	2												1650.36507
0000068	0036	4		1	1	64	1	0	0	0	0	00																																																																				2106.881859
0000069	0036	4		1	1	20	1	1	1	0	4	08	1	1	4		400	2				1	5175											2		2							2		2				2		2		2		2		5575	5575	5575			2														2	2	2	2	2106.881859
0000877	0037	4		2	1	49	1	0	0	0	0	00																																																																				959.778769
0000878	0037	4		2	2	54	1	0	0	0	0	00																																																																				959.778769
0000879	0037	4		2	2	21	1	1	1	0	4	08	1	1	5	1	0	1	800			1	1600											2		2							1	400	1	100			1	80	2		2		2		2980	2400	2400		580	1														1	2	1	2	959.778769
0000880	0037	4		2	2	19	1	1	1	0	4	08	1	1	1		0	2				2												2		2							1	180	1	80			1	100	1	50	1	700	2		1110				1110	1														1	2	2	2	959.778769
0000881	0038	4		2	1	48	1	0	0	0	0	00																																																																				952.867106
0000882	0038	4		2	2	50	1	0	0	0	0	00																																																																				952.867106
0000883	0038	4		2	2	15	1	1	1	0	3	04	1	1	1		0	2		2		2				2		2		1	100	2		2		1	540						1	156	1	15	2		1	150	2		1	400	2		1361	640	640		721	2	2	2	2	2	2	2												952.867106
0000884	0038	4		2	1	10	1	1	1	0	2	03	1	1	1		0	2		2		2		2		2		2		1	60	2		2		2							1	285	2		1	35	1	150	2		2		2		530	60	60		470	2	2	2	2	2	2	2												952.867106
0000005	0039	4		2	1	50	1	0	0	0	0	00																																																																				1059.077056
0000006	0039	4		2	2	52	1	0	0	0	0	00																																																																				1059.077056
0000007	0039	4		2	2	20	1	1	1	0	4	08	1	1	4		0	2				1	1980											2		2							2		1	30			1	20	2		2		2		2030	1980	1980		50	1														1	2	2	2	1059.077056
0000008	0039	4		2	2	15	1	1	1	0	3	04	1	1	1		0	2		2		2				2		2		2		2		2		1	400						1	180	2		2		1	20	2		2		2		600	400	400		200	2	2	2	2	2	2	2												1059.077056
0001888	0040	4		2	1	39	1	0	0	0	0	00																																																																				2515.920565
0001889	0040	4		2	2	37	1	1	0	1	5	11																														0	2		2				1	5	2		2		2																									2515.920565
0001890	0040	4		2	1	7	1	1	1	0	2	03	1	1	1		0	1	200	2		2		2		2		2		2		2		2		2							1	250	1	5	1	50	1	20	2		2		2		525	200	200		325	1	2	2	2	1	2	2												2515.920565
0000885	0041	4		2	1	48	1	0	0	0	0	00																																																																				1891.522788
0000886	0041	4		2	2	47	1	0	0	0	0	00																																																																				1891.522788
0000887	0041	4		2	2	17	1	1	1	1	3	05	1	1	1		0	2		2		2				2		2		1	600	2		2		2			576				1	100	1	30	2		1	50	2		2		2		1356	1176	600	576	180	2							2	2	2	2	2	2	2					1891.522788
0000888	0041	4		2	1	15	1	1	1	0	3	04	2	1	1		0	2		2		2				2		2		1	20	2		2		2							1	125	1	20	2		1	50	2		2		2		215	20	20		195	2	2	2	2	2	2	2												1891.522788
0000892	0042	1		1	1	60	1	0	0	0	0	00																																																																				1115.175103
0000893	0042	1		1	2	56	1	0	0	0	0	00																																																																				1115.175103
0000894	0042	1		1	1	22	1	1	1	0	4	09	1	1	2		0	2				2												2		2							1	300	1	50			1	50	1	45	2		2		445				445	1														1	2	2	2	1115.175103
0002846	0043	1		1	1	55	1	0	0	0	0	00																																																																				686.142934
0002847	0043	1		1	2	49	1	0	0	0	0	00																																																																				686.142934
0002848	0043	1		1	2	21	1	1	1	0	4	08	1	1	3		2000	2				2												1	7	2							2		1	100			1	100	1	10	2		2		2217	2007	2007		210	1														1	2	2	2	686.142934
0001894	0044	1		1	1	32	1	0	0	0	0	00																																																																				4189.291366
0001895	0044	1		1	2	30	1	0	0	0	0	00																																																																				4189.291366
0001896	0044	1		1	1	4	1	1	1	0	1	02	1	1	1		0	2		2		2		2		2		2		2		1	10	2		2							1	70	2		2		2		2		2		2		80	10	10		70	2	2	2	2	2	2	2												4189.291366
0001897	0044	1		1	1	2	1	0	0	0	0	00																																																																				4189.291366
0000898	0045	1		1	2	59	1	0	0	0	0	00																																																																				1262.070639
0000899	0045	1		1	1	61	1	0	0	0	0	00																																																																				1262.070639
0000900	0045	1		1	2	17	1	1	1	0	3	05	1	1	1		0	2		2		2				2		2		2		1	10	2		2							1	140	2		2		1	60	2		1	25	2		235	10	10		225	2							2	2	2	2	2	2	2					1262.070639
0005719	0046	2		2	1	57	1	0	0	0	0	00																																																																				773.480852
0005720	0046	2		2	2	57	1	0	0	0	0	00																																																																				773.480852
0005721	0046	2		2	2	20	1	1	1	0	4	08	1	1	4		310	2				2												2		2							1	172	1	183			1	36	2		2		2		701	310	310		391	2														2	2	2	2	773.480852
0005722	0046	2		2	1	15	1	1	1	0	3	04	1	1	1		0	2		2		2				2		2		1	25	2		1	15	2							1	180	1	10	1	20	1	30	2		2		2		280	40	40		240	2	2	2	2	2	2	2												773.480852
0012071	0047	2		1	1	45	1	1	0	1	5	11																													1400		2		1	50			1	10	2		1	600	2		2060	1400		1400	660																			872.991933
0012072	0047	2		1	2	39	1	0	0	0	0	00																																																																				872.991933
0002849	0048	2		2	1	47	2	0	0	0	0	00																																																																				1209.944634
0002850	0048	2		2	2	43	1	0	0	0	0	00																																																																				1209.944634
0002851	0048	2		2	1	18	1	1	1	1	3	05	1	1	1		0	2		2		2				2		2		2		1	15	1	50	2			2286			330	1	314	2		1	72	1	60	2		1	980	2		4107	2681	65	2616	1426	2							2	2	2	2	2	2	2					1209.944634
0002852	0048	2		2	1	15	1	1	1	1	3	04	1	1	1		0	2		2		2				2		2		1	49	1	15	2		1	936		2304				1	290	2		1	65	1	60	2		1	560	2		4279	3304	1000	2304	975	2	2	2	2	2	2	2												1209.944634
0006760	0049	2		1	1	76	1	0	0	0	0	00																																																																				1310.880771
0006761	0049	2		1	2	70	1	0	0	0	0	00																																																																				1310.880771
0006762	0049	2		1	2	25	1	1	0	1	5	11																													2400		1	700	1	500			1	200	1	350	1	700	2		4850	2400		2400	2450																			1310.880771
0000070	0050	4		2	1	44	2	0	0	0	0	00																																																																				3297.671811
0000071	0050	4		2	2	46	1	0	0	0	0	00																																																																				3297.671811
0000072	0050	4		2	1	8	1	1	1	0	2	03	1	1	1		0	1	810	2		2		2		2		1	315	1	23	1	10	2		2							1	139	1	3	2		1	30	2		1	70	1	10	1410	1158	1158		252	2	2	2	2	2	2	2												3297.671811
0000073	0050	4		2	2	4	1	1	1	0	1	02	1	1	1		0	1	810	2		2		2		2		2		1	20	1	10	2		2							1	130	2		2		1	25	2		2		2		995	840	840		155	2	2	2	2	2	2	2												3297.671811
0001903	0051	4		1	1	63	1	0	0	0	0	00																																																																				3942.600205
0001904	0051	4		1	2	63	1	0	0	0	0	00																																																																				3942.600205
0001905	0051	4		1	2	31	1	1	0	1	5	11																													100		1	13	1	46			2		2		2		2		159	100		100	59																			3942.600205
0001906	0051	4		1	1	27	1	0	0	0	0	00																																																																				3942.600205
0000074	0052	4		2	1	61	1	1	0	1	5	11																														75	2		2				2		2		2		2		75	75		75																				2170.324543
0000075	0052	4		2	2	60	1	0	0	0	0	00																																																																				2170.324543
0000076	0052	4		2	2	28	1	1	0	1	5	11																														100	1	0	2				2		2		2		2		100	100		100																				2170.324543
0000077	0052	4		2	2	28	1	0	0	0	0	00																																																																				2170.324543
0002853	0053	4		3	1	40	1	0	0	0	0	00																																																																				2485.143495
0002854	0053	4		3	2	39	1	0	0	0	0	00																																																																				2485.143495
0002855	0053	4		3	2	13	1	1	1	1	3	04	1	1	1		0	2		2		2				2		1	1050	2		2		2		2			360				1	450	1	25	2		1	175	2		2		2		2060	1410	1050	360	650	2	2	2	2	2	2	2												2485.143495
0002856	0053	4		3	2	6	1	1	1	0	2	03	2	1	1		0	2		2		2		2		2		2		2		2		2		2							1	260	2		1	80	1	56	2		2		2		396				396	2	2	2	2	2	2	2												2485.143495
0002857	0053	4		3	2	4	1	1	1	0	1	02	2	1	1		0	2		2		2		2		2		2		2		2		2		2							1	235	2		1	105	1	48	2		2		2		388				388	2	2	2	2	2	2	2												2485.143495
0001907	0054	4		1	1	58	1	1	0	1	5	11																														0	2		2				2		2		2		2																									765.349207
0001908	0055	2		3	1	50	1	0	0	0	0	00																																																																				1208.725897
0001909	0055	2		3	2	51	1	1	0	1	5	11																													1200		2		2				1	20	2		2		2		1220	1200		1200	20																			1208.725897
0001910	0055	2		3	1	15	1	1	1	1	3	04	1	1	1		0	2		2		2				2		2		1	606	2		2		2			540				1	70	1	10	2		1	50	2		2		1	40	1316	1146	606	540	170	2	2	2	2	2	2	2												1208.725897
0001911	0055	2		3	1	18	1	1	1	0	4	08	1	1	4		1075	1	1800			1	5850											2		1	400						1	323	1	30			1	50	2		1	700	1	40	10268	9125	9125		1143	2														2	2	2	2	1208.725897
0000907	0056	4		3	2	61	1	0	0	0	0	00																																																																				1790.443718
0000908	0056	4		3	1	21	1	1	1	0	4	08	1	1	4		890	2				2												2		2							1	250	1	100			2		2		2		1	100	1340	890	890		450	2														2	2	2	2	1790.443718
0000909	0056	4		3	2	21	1	1	1	1	4	08	3	1	4		16000	2				2												2		2			1080				2		1	70			1	50	1	80	1	490	2		17770	17080	16000	1080	690	2														2	2	2	2	1790.443718
0000910	0056	4		3	1	68	1	0	0	0	0	00																																																																				1790.443718
0000911	0056	4		3	2	25	1	1	0	1	5	11																													8050		1	900	1	250			2		1	120	2		2		9320	8050		8050	1270																			1790.443718
0001912	0057	4		4	1	50	1	0	0	0	0	00																																																																				5464.141232
0001913	0057	4		4	2	49	1	1	0	1	5	11																												180			2		2				2		2		2		2		180	180		180																				5464.141232
0001914	0057	4		4	1	21	1	1	1	0	4	08	3	1	4		6632	2				1	4500											2		2							2		2				2		2		1	770	2		11902	11132	11132		770	2														2	2	2	2	5464.141232
0001915	0057	4		4	2	17	1	1	1	1	3	05	3	1	1		4890	2		1	30	2				2		2		1	125	2		2		1	1280		3840	240			1	368	1	47	2		1	100	2		1	1200	2		12120	10405	6325	4080	1715	2							2	2	2	2	2	2	2					5464.141232
0001916	0057	4		4	1	15	1	1	1	0	3	04	1	1	1		0	2		2		2				2		1	250	2		2		2		2							1	155	2		2		1	40	2		2		2		445	250	250		195	2	2	2	2	2	2	2												5464.141232
0001917	0058	4		2	1	27	1	0	0	0	0	00																																																																				3080.166204
0001918	0058	4		2	2	25	1	0	0	0	0	00																																																																				3080.166204
0001919	0058	4		2	1	5	1	1	1	0	1	02	1	1	1		0	1	0	2		2		2		2		2		1	10	2		2		2							1	160	2		1	10	1	30	2		2		2		210	10	10		200	1	2	1	2	2	2	2												3080.166204
0001920	0058	4		2	2	8	1	1	1	0	2	03	1	1	1		0	1	0	2		2		2		2		1	0	1	40	2		2		2							1	260	1	4	1	65	1	50	2		2		2		419	40	40		379	1	2	1	2	2	2	2												3080.166204
0000078	0059	4		1	1	47	1	0	0	0	0	00																																																																				1271.415914
0000079	0059	4		1	2	50	1	0	0	0	0	00																																																																				1271.415914
0000080	0059	4		1	1	15	1	1	1	0	3	04	1	1	2		0	2		1	0	2				2		1	450	1	150	1	10	2		1	180						1	201	1	25	2		1	30	2		2		2		1046	790	790		256	2	2	2	2	2	2	2												1271.415914
0000914	0060	1		2	2	51	1	0	0	0	0	00																																																																				1020.429671
0000915	0060	1		2	1	47	1	0	0	0	0	00																																																																				1020.429671
0000916	0060	1		2	2	13	1	1	1	0	3	04	1	1	2		0	2		1	0	2				2		1	100	1	25	1	19	2		2							1	120	1	3	2		1	50	2		2		2		317	144	144		173	2	2	2	2	2	2	2												1020.429671
0000917	0060	1		2	1	18	1	1	1	1	3	05	1	1	2		0	2		1	0	2				2		2		2		1	11	2		2			150				1	110	1	10	2		1	50	2		2		2		331	161	11	150	170	1							1	2	2	2	2	2	2					1020.429671
0001921	0061	1		2	1	44	1	0	0	0	0	00																																																																				1549.40661
